t,x_ref,y_ref,vx_ref,vy_ref,v_xy_ref,x_odom,y_odom,vx_odom,vy_odom,v_xy_odom
0.0,-17.87116857412614,-2.3559456350343227e-16,0.005250453764668968,3.4730601432118236e-17,0.005250453764668968,-17.999999999952713,-1.820317953909909e-16,5.886547357187402e-08,-2.284239824262825e-13,5.886547357231722e-08
0.009970426559448242,-17.871012119252423,-2.3360110948378494e-16,0.030254355032688522,4.303500162013106e-16,0.030254355032688522,-17.9999999672264,-1.377195675198738e-13,1.3523896475336523e-05,-5.826986955708575e-11,1.3523896475462055e-05
0.01996779441833496,-17.87048093008206,-2.256797336035609e-16,0.08015426315272041,1.219893961805573e-15,0.08015426315272041,-17.999999260665618,-3.676273365758527e-12,0.00017703407880449446,-9.733264332719297e-10,0.00017703407880717014
0.0299680233001709,-17.869326161788834,-2.0789184703984824e-16,0.15494032260277557,2.4032065261520403e-15,0.15494032260277557,-17.99999459569381,-3.8508155432632385e-11,0.0009013765503378825,-8.1763615035484e-09,0.0009013765503749663
0.03997206687927246,-17.867298174084205,-1.7628748985724325e-16,0.2546444600809584,3.980792877791274e-15,0.2546444600809584,-17.99997686297868,-2.731257775341331e-10,0.0029479129973723974,-4.9234805688441425e-08,0.0029479129977835468
0.04996490478515625,-17.86415250191612,-1.2699781152163897e-16,0.37908862364051304,5.9498357548222795e-15,0.37908862364051304,-17.999927526481557,-1.4313149059968915e-09,0.007446356551408756,-2.172027023798484e-07,0.007446356554576547
0.05997133255004883,-17.859631932704538,-5.595419960568043e-17,0.5285935719547061,8.315410426958191e-15,0.5285935719547061,-17.99981470868748,-5.762703234181352e-09,0.015919626546577064,-7.34876936138015e-07,0.015919626563538646
0.06996488571166992,-17.85349975558351,4.059006128472194e-17,0.702765676201408,1.1071288616536683e-14,0.702765676201408,-17.999589556249298,-1.8639664408326353e-08,0.03031635222135806,-2.016178842807383e-06,0.03031635228840071
0.07996559143066406,-17.84549642064262,1.667408120370214e-16,0.9019311765835424,1.4222632332707196e-14,0.9019311765835424,-17.999180047459728,-5.082817561309633e-08,0.05323851348110629,-4.72941998339396e-06,0.053238513691174265
0.08996820449829102,-17.83540048712148,3.25474066818516e-16,1.1135834960237891,1.7315026193321887e-14,1.1135834960237891,-17.998484981237915,-1.2124440713259813e-07,0.08808668690565538,-9.856055982237067e-06,0.08808668745705447
0.09996533393859863,-17.823354535482675,5.066339024178617e-16,1.2895775793979374,1.8596912273259185e-14,1.2895775793979374,-17.997366521125368,-2.6010890633648915e-07,0.13864738461640858,-1.8659169640480996e-05,0.1386473858719844
0.10996389389038086,-17.809748356128075,6.907287129694386e-16,1.425283497585973,1.789623095485899e-14,1.425283497585973,-17.99565074181932,-5.109004653080373e-07,0.20768745130250077,-3.2410697434867484e-05,0.20768745383142898
0.1199653148651123,-17.794983011976264,8.579427143844063e-16,1.5206891144104047,1.5211690581731106e-14,1.5206891144104047,-17.993148285714092,-9.279983259188859e-07,0.2955340913593897,-5.196219288676909e-05,0.2955340959275081
0.12997102737426758,-17.779457899151716,9.884359510741894e-16,1.5757711698068366,1.0540589459888871e-14,1.5757711698068366,-17.989683275949304,-1.5702838538657126e-06,0.3992638047683545,-7.732623278559104e-05,0.39926381225631874
0.1399688720703125,-17.76359677042264,1.0622237746006885e-15,1.5904805133116844,3.8900213222766816e-15,1.5904805133116844,-17.98513137438443,-2.4900552261191755e-06,0.5120416066018108,-0.00010724127627490821,0.5120416178320419
0.1499643325805664,-17.747793512693562,1.0596217141359257e-15,1.5648892208190408,-4.740941728800497e-15,1.5648892208190408,-17.979452490933422,-3.7200094192631714e-06,0.6226395338132839,-0.00013878209524892648,0.6226395492800737
0.15996575355529785,-17.732438466149496,9.607536919243059e-16,1.4989534704037306,-1.53604771504083e-14,1.4989534704037306,-17.972717536820003,-5.261759801690631e-06,0.7215878793020916,-0.0001691137871231395,0.7215878991191322
