t,x_ref,y_ref,vx_ref,vy_ref,v_xy_ref,x_odom,y_odom,vx_odom,vy_odom,v_xy_odom
0.0,-17.871171827945645,-0.9000000000000044,0.004454925162385449,6.122462112299731e-16,0.004454925162385449,-18.0,-1.0,0.0,0.0,0.0
0.010031461715698242,-17.871029914348682,-0.9000000000000041,0.028010876488670844,9.542208154080494e-16,0.028010876488670844,-17.99999998172437,-0.9999999952026766,9.054752718458064e-06,2.378931912934747e-06,9.362043785349601e-06
0.020060062408447266,-17.87052636334777,-0.9000000000000044,0.07658122955823532,1.8090730630619217e-15,0.07658122955823532,-17.999999408794913,-0.9999998521535887,0.00015093897446992474,3.624799299062794e-05,0.00015523044485500002
0.030034542083740234,-17.86941838724801,-0.9000000000000044,0.14970469551077994,3.1680680354951524e-15,0.14970469551077994,-17.999995231434053,-0.9999989383919856,0.0008277558520594242,0.00017116897755566215,0.0008452683417093498
0.04006767272949219,-17.86744312186204,-0.9000000000000041,0.2482228358799722,5.046877163489326e-15,0.2482228358799722,-17.99997845890075,-0.9999957574499885,0.0028223874481633294,0.0005052709569432646,0.0028672582108139953
0.05003190040588379,-17.8643793456991,-0.900000000000004,0.3708481438592768,7.42089190808133e-15,0.3708481438592768,-17.999930784654268,-0.9999878389259964,0.007263995150346457,0.0011433676930257368,0.007353428807414392
0.06005597114562988,-17.859939548637843,-0.9000000000000039,0.5191321521530446,1.0320112417730894e-14,0.5191321521530446,-17.999819762399277,-0.9999714687877584,0.01573612218210748,0.0022076923811911067,0.015890231180828815
0.0700373649597168,-17.853917749122797,-0.9000000000000039,0.6916160944435404,1.3716077559632777e-14,0.6916160944435404,-17.99959644330907,-0.9999418996344699,0.03017805692620617,0.003816263347818775,0.030418398803705057
0.08007311820983887,-17.846002139143476,-0.9000000000000038,0.8900279624522169,1.764284436688999e-14,0.8900279624522169,-17.999186235198646,-0.9998926974481602,0.053319649319648214,0.006122294515025467,0.05366998689862867
0.09003281593322754,-17.836073209212394,-0.9000000000000035,1.1015923222591641,2.186697072758698e-14,1.1015923222591641,-17.99849157694421,-0.9998167814412516,0.08831574860104563,0.00925668431357626,0.08879953634701199
0.1000361442565918,-17.824126950381217,-0.9000000000000034,1.2801334536743447,2.5568500165516284e-14,1.2801334536743447,-17.997368151319897,-0.9997044769223135,0.13932738596807032,0.013370483533899063,0.13996746161385476
0.1100316047668457,-17.810607608097357,-0.900000000000003,1.4182258659470568,2.8612480461918405e-14,1.4182258659470568,-17.995642983731223,-0.9995462544069741,0.20898433997664118,0.018421817043644408,0.20979470369545045
0.12002825736999512,-17.79590756957113,-0.9000000000000028,1.5160337250487772,3.100229716882847e-14,1.5160337250487772,-17.993126355151617,-0.9993337696656766,0.29756163335105,0.024180869351518676,0.29854252642653767
0.13004398345947266,-17.78040141667649,-0.9000000000000026,1.573609293324676,3.2740224067233433e-14,1.573609293324676,-17.98963626538252,-0.9990614438851435,0.40224205410220126,0.030260243388545816,0.4033786712486076
0.14003324508666992,-17.764563004380136,-0.9000000000000021,1.5907370020027,3.3819135319545205e-14,1.5907370020027,-17.98505187878078,-0.9987292597440036,0.5159992171145218,0.03614262824100672,0.5172634547684256
0.15004491806030273,-17.74871963654494,-0.9000000000000018,1.5675244722200388,3.4244668123833214e-14,1.5675244722200388,-17.97932547359848,-0.9983412568723565,0.6282149384258332,0.041311989356475405,0.6295718301559902
