t,x_ref,y_ref,vx_ref,vy_ref,v_xy_ref,ax_ref,ay_ref,a_xy_ref,x_odom,y_odom,vx_odom,vy_odom,v_xy_odom
0.0,-17.87127862312431,-0.8999999999999989,0.004297079584169475,3.3210602466041056e-15,0.004297079584169475,0.24162877992305698,4.071661097778651e-14,0.24162877992305698,-17.999999999999353,-0.9999999999996397,6.434032398923797e-10,3.584610512702035e-10,7.365202335182316e-10
0.009996891021728516,-17.871216396110984,-0.899999999999999,0.008872043915495042,3.82074052778055e-15,0.008872043915495042,0.6736514843450365,5.925083503555042e-14,0.6736514843450365,-17.99999999078309,-0.9999999948602448,4.560419310169678e-06,2.5442446613034735e-06,5.222126499917415e-06
0.019994497299194336,-17.871086830666783,-0.899999999999999,0.017766848432631342,4.505773070280901e-15,0.017766848432631342,1.1057120890588854,7.778668505531628e-14,1.1057120890588854,-17.999999715653026,-0.9999998438261984,7.076113116702789e-05,3.822550255050234e-05,8.042590832111121e-05
0.03003096580505371,-17.870845548456934,-0.8999999999999989,0.03104060065044171,5.379837163273911e-15,0.03104060065044171,1.5394388372764234,9.639401436701211e-14,1.5394388372764234,-17.99999782452414,-0.9999988688576245,0.00036397934554243804,0.000182019915058993,0.0004069548051806054
0.03999447822570801,-17.870452740398605,-0.8999999999999987,0.048523842581879716,6.4322834471805415e-15,0.048523842581879716,1.9700197748371158,1.1486638512453825e-13,1.9700197748371158,-17.999990780193635,-0.999995522612044,0.0011661394141522534,0.0005340605354457102,0.0012826152146142348
0.04999876022338867,-17.869861489824213,-0.8999999999999988,0.07039536150310498,7.674232264780745e-15,0.07039536150310498,2.40236759202504,1.3341455685863117e-13,2.40236759202504,-17.99997140396651,-0.9999871009995118,0.0029044357035284845,0.001213368417254849,0.003147699107589946
0.05999398231506348,-17.86903067516712,-0.8999999999999988,0.0965663290770473,9.100354322785987e-15,0.0965663290770473,2.8343201571383494,1.5194577186698902e-13,2.8343201571383494,-17.99992776086448,-0.999969785549051,0.006126963772928802,0.00233336921108096,0.006556241068630906
0.07004618644714355,-17.86790946410417,-0.8999999999999988,0.1272406759817745,1.0721402896775353e-14,0.1272406759817745,3.2687315739124294,1.7058247417297974e-13,3.2687315739124294,-17.99984102932748,-0.999938393002624,0.011544607345358263,0.004009455844795399,0.012221034936938194
0.08002996444702148,-17.86646901998409,-0.8999999999999985,0.1620293715128571,1.2516891743557054e-14,0.1620293715128571,3.7001961457580195,1.8909275376180983e-13,3.7001961457580195,-17.999687301679867,-0.9998874811826006,0.01979610637992296,0.006302302487513707,0.02077510155087931
0.09003114700317383,-17.86465627419889,-0.8999999999999984,0.20119704664615554,1.450076680131463e-14,0.20119704664615554,4.132406017983974,2.07635007513337e-13,4.132406017983974,-17.99943344795668,-0.9998101289428609,0.03162981371332232,0.009287777864971834,0.0329652534224831
0.09999918937683105,-17.862438313899755,-0.8999999999999981,0.24453574994869876,1.6662575251496955e-14,0.24453574994869876,4.5631805192929935,2.2611568235730174e-13,4.5631805192929935,-17.999042250982207,-0.999699763883917,0.047634821559953654,0.012982028772896176,0.04937215101764283
0.10999798774719238,-17.859757987034413,-0.8999999999999979,0.29232164344651257,1.9016103976912977e-14,0.29232164344651257,4.995280925795682,2.446532399152703e-13,4.995280925795682,-17.998465546788346,-0.9995483516070128,0.0685432824845822,0.017414726786613585,0.0707209607034126
0.11999368667602539,-17.856579273224988,-0.8999999999999977,0.3444120916523349,2.1554213838540284e-14,0.3444120916523349,5.427254969181579,2.6318537636389604e-13,5.427254969181579,-17.99765392320469,-0.99934927732306,0.09484660518085068,0.022542633703270778,0.09748871139066313
0.13002967834472656,-17.852842094132836,-0.8999999999999975,0.40105725594214003,2.4288952288602534e-14,0.40105725594214003,5.860975451102285,2.817924368449302e-13,5.860975451102285,-17.99654462339893,-0.9990944259409034,0.12722225762388747,0.02834096792059024,0.1303407583896715
0.13998937606811523,-17.848549890097082,-0.8999999999999974,0.4615740418125273,2.7187466284229175e-14,0.4615740418125273,6.291391001642471,3.0025771232699295e-13,6.291391001642471,-17.99509164427731,-0.9987811883804772,0.16566090309336592,0.034650592599913224,0.16924597005906739
0.1500554084777832,-17.843577665695566,-0.899999999999997,0.5270918052358071,3.030375101206519e-14,0.5270918052358071,6.726396593003681,3.189199053417233e-13,6.726396593003681,-17.993199312111443,-0.998398147078631,0.2112792735913598,0.041484957308773836,0.2153135693174108
0.16011667251586914,-17.837930157746648,-0.8999999999999967,0.5951031720847247,3.346503428460736e-14,0.5951031720847247,6.511693382483485,2.8802551983803914e-13,6.511693382483485,-17.99081956208889,-0.9979458674659669,0.2637514604380878,0.04862035057690425,0.2681953977484425
0.1700267791748047,-17.831724248331955,-0.8999999999999965,0.6561659751201899,3.5983910550093e-14,0.6561659751201899,5.811499924845433,2.203133967163475e-13,5.811499924845433,-17.987929644773963,-0.9974298674562468,0.32209266592831615,0.05578542922786705,0.32688790060041567
0.17999744415283203,-17.824904732727248,-0.899999999999996,0.7105978181178674,3.7840934855972927e-14,0.7105978181178674,5.107045628435589,1.521892296996866e-13,5.107045628435589,-17.984382769822147,-0.9968351730015402,0.3873115895093443,0.06296605928604693,0.3923964729584974
0.1900336742401123,-17.817527711523752,-0.8999999999999957,0.7582949541924499,3.9024233021103906e-14,0.7582949541924499,4.397949740756012,8.361619816407256e-14,4.397949740756012,-17.980145630599857,-0.9961682616542571,0.4576868581975252,0.06985621025757348,0.4629872031474216
0.20013070106506348,-17.809658996961847,-0.8999999999999952,0.7991001856438189,3.9520221148951564e-14,0.7991001856438189,3.684546806820199,1.462665424432867e-14,3.684546806820199,-17.975159688509315,-0.9954312895089285,0.5319604709265594,0.07627514125954754,0.5374010046534811
0.21013545989990234,-17.80149170674971,-0.8999999999999948,0.8324266963144911,3.932461250908544e-14,0.8324266963144911,2.97768470481052,-5.373035931988381e-14,2.97768470481052,-17.969459559343353,-0.9946388358702498,0.6076295243099361,0.08201730035350968,0.6131398505809234
0.22002959251403809,-17.79312123276847,-0.8999999999999944,0.8584300004128704,3.845856603989845e-14,0.8584300004128704,2.278628912179321,-1.2133246468551824e-13,2.278628912179321,-17.96306774089104,-0.9938009826989682,0.6828880925543475,0.08701678364988027,0.6884098107880836
0.2301185131072998,-17.784356763083977,-0.899999999999994,0.8778230541795876,3.688673018236699e-14,0.8778230541795876,1.5658128274266514,-1.9026525742641385e-13,1.5658128274266514,-17.95580242469315,-0.9929014415444748,0.7589466401486482,0.09142460611946454,0.7644334249606181
0.24007129669189453,-17.77555385214685,-0.8999999999999936,0.8899080283674483,3.465459854096924e-14,0.8899080283674483,0.8625977253128716,-2.5826958830945846e-13,0.8625977253128716,-17.947866497305284,-0.9919707729876132,0.8324390163411327,0.09514397616857345,0.8378586349308329
0.25012993812561035,-17.766570990826676,-0.8999999999999932,0.8950103437088865,3.171113236227538e-14,0.8950103437088865,0.15192258733933883,-3.26995341052587e-13,0.15192258733933883,-17.939155461962137,-0.9909997408446645,0.9025614268478993,0.09825210296012635,0.9078934986934333
0.2600862979888916,-17.757664005630417,-0.899999999999993,0.8930210035015775,2.811678241562574e-14,0.8930210035015775,-0.5515330904388489,-3.9502293677598517e-13,0.5515330904388489,-17.92984993204751,-0.9900091131764874,0.9670091471947956,0.10077678369056557,0.9722461884159901
0.2699918746948242,-17.748856620837614,-0.8999999999999927,0.8840914660380526,2.3868645729262323e-14,0.8840914660380526,-1.251398220584239,-4.627033090274496e-13,1.251398220584239,-17.9199564759857,-0.988998262502901,1.025541352292564,0.10283693476689773,1.0306844815045544
0.28006744384765625,-17.74002457197264,-0.8999999999999925,0.8678968938913889,1.8859904769606527e-14,0.8678968938913889,-1.9632647909891807,-5.315442790988846e-13,1.9632647909891807,-17.909362525917025,-0.9879543374788945,1.0785211330200608,0.10455523327704556,1.0835772382144677
0.29009008407592773,-17.731436339288294,-0.8999999999999923,0.8446708528363713,1.3189195761272011e-14,0.8446708528363713,-2.6714074196777977,-6.000251258397699e-13,2.6714074196777977,-17.898327642303386,-0.9869000836864357,1.1243680805725438,0.1059774975951279,1.1293515000242005
0.3000526428222656,-17.72316553223494,-0.8999999999999924,0.8145507701893421,6.872385257803218e-15,0.8145507701893421,-3.3752933075060905,-6.680943249737156e-13,3.3752933075060905,-17.88691788532286,-0.9858371599588593,1.162894221791494,0.10718140666427828,1.1678231137507844
0.3101050853729248,-17.71515975857307,-0.8999999999999921,0.7770507327864119,-1.888622191333985e-16,0.7770507327864119,-4.085539577848792,-7.367786041247891e-13,4.085539577848792,-17.87506165698421,-0.9847542198018662,1.1948139339608925,0.10826042869285289,1.1997085717822742
0.32006239891052246,-17.707633713228756,-0.8999999999999923,0.734362790844166,-7.664133965947249e-15,0.734362790844166,-4.259499830137458,-7.340719277846532e-13,4.259499830137458,-17.863014471559623,-0.98366935568708,1.2196202822668245,0.10926014963928458,1.2245045582666516
0.33002233505249023,-17.700527123448758,-0.8999999999999923,0.6930839094138829,-1.4693161928213156e-14,0.6930839094138829,-4.029659386833627,-6.774181586937971e-13,4.029659386833627,-17.850778252995493,-0.982576635147896,1.2368871507173103,0.11022454929556105,1.2417887400347112
0.33999133110046387,-17.693814163112958,-0.8999999999999926,0.6540587551429649,-2.1163720335297853e-14,0.6540587551429649,-3.799603819901159,-6.207113634069956e-13,3.799603819901159,-17.838390243664257,-0.9814725194003355,1.2458139420408576,0.11118588371908043,1.250765637088649
0.35004329681396484,-17.687427638896892,-0.899999999999993,0.617031132053526,-2.711571306124421e-14,0.617031132053526,-3.5676347326765887,-5.635329011880341e-13,3.5676347326765887,-17.825888291908036,-0.9803523834380724,1.2453530480925277,0.11216647836539886,1.2503941511628422
0.35999417304992676,-17.681460443291016,-0.899999999999993,0.5826723581901141,-3.244176623001545e-14,0.5826723581901141,-3.337996997584939,-5.069290979956103e-13,3.337996997584939,-17.81351330486793,-0.9792288271639797,1.2346454219554692,0.11316283139512387,1.2398206097516526
0.3700394630432129,-17.675771924464698,-0.8999999999999936,0.5503059726480258,-3.7246956283244633e-14,0.5503059726480258,-3.1061852723024055,-4.4978942419438633e-13,3.1061852723024055,-17.801210467503548,-0.9780869540699678,1.2130863954259261,0.11418723724254193,1.218448738321211
0.38009214401245117,-17.67039282934083,-0.899999999999994,0.5202460384341527,-4.1481193033777904e-14,0.5202460384341527,-2.8741958542564623,-3.9260595059603964e-13,2.8741958542564623,-17.789203348835212,-0.9769371888851948,1.181015810731126,0.11522466250891,1.1866233893056342
