t,x_ref,y_ref,vx_ref,vy_ref,v_xy_ref,ax_ref,ay_ref,a_xy_ref,x_odom,y_odom,vx_odom,vy_odom,v_xy_odom
0.0,-17.871288319486005,-0.899999999999999,0.003812512709823606,3.2275660029442893e-15,0.003812512709823606,0.1191184318599216,3.528168375376724e-14,0.1191184318599216,-17.999999999999922,-0.9999999999999496,3.9179968512108153e-10,2.522384462803236e-10,4.659734188158058e-10
0.01006460189819336,-17.87123760193737,-0.899999999999999,0.006893309977853954,3.660561349027966e-15,0.006893309977853954,0.4930928102248196,5.0762478059021145e-14,0.4930928102248196,-17.999999987806348,-0.9999999921343037,5.491158518883041e-06,3.543543241489012e-06,6.53525214385828e-06
0.020059823989868164,-17.8711378860187,-0.899999999999999,0.013678033588015049,4.244780872774714e-15,0.013678033588015049,0.8644948653305419,6.613679018376839e-14,0.8644948653305419,-17.999999697583426,-0.999999808508,7.198592843861881e-05,4.477875505662283e-05,8.477682936741013e-05
0.03002142906188965,-17.870952618551105,-0.8999999999999988,0.024133283983447572,4.979917648823985e-15,0.024133283983447572,1.2346415068890277,8.145913404540154e-14,1.2346415068890277,-17.999997875325747,-0.9999987243263367,0.00034574692663690075,0.0001997523579442522,0.0003993018179061436
0.03999900817871094,-17.870644214508186,-0.8999999999999989,0.03830180866502459,5.8692595501958335e-15,0.03830180866502459,1.6053915911754815,9.680645762031751e-14,1.6053915911754815,-17.999991275416303,-0.999995093767074,0.001078856111095454,0.0005730500714041496,0.001221604229193853
0.05005002021789551,-17.870171860691748,-0.8999999999999986,0.056314619128873936,6.91996311139108e-15,0.056314619128873936,1.9788671260291129,1.1226660213180162e-13,1.9788671260291129,-17.9999734690992,-0.9999860944137402,0.0026422176939194858,0.0012856430552234998,0.0029383996337301738
0.06004047393798828,-17.869504323066646,-0.8999999999999986,0.07793872140409774,8.118317380994881e-15,0.07793872140409774,2.3500900805222242,1.2763350032686764e-13,2.3500900805222242,-17.99993413322629,-0.9999678716638966,0.005489963510749286,0.002445610371719485,0.006010050701917626
0.07005429267883301,-17.8685998292534,-0.8999999999999986,0.10333463666914487,9.473511094485028e-15,0.10333463666914487,2.7221749102662716,1.4303607613582492e-13,2.7221749102662716,-17.999857362939675,-0.9999352897083637,0.010210212380490908,0.004163234315803463,0.011026375507074542
0.07999682426452637,-17.86743176568232,-0.8999999999999984,0.13223701234271182,1.097170234093658e-14,0.13223701234271182,3.091623170908985,1.5832951028618038e-13,3.091623170908985,-17.999722324487124,-0.9998827840760953,0.017413955135871986,0.006504274085018835,0.01858901328331361
0.08999848365783691,-17.86594834008409,-0.8999999999999984,0.16501703903618034,1.2632201607716862e-14,0.16501703903618034,3.4632645594267046,1.7371372969745806e-13,3.4632645594267046,-17.999498672920218,-0.9998030742225367,0.02790192853113601,0.009550202215133538,0.029491083027019593
0.10000109672546387,-17.86411828513247,-0.8999999999999981,0.20151762988777058,1.4446742702170053e-14,0.20151762988777058,3.8349400216501843,1.890993596011668e-13,3.8349400216501843,-17.99915148944877,-0.9996894977858712,0.042307425028614024,0.013306058248051403,0.04435052873024552
0.10999631881713867,-17.861906350124723,-0.899999999999998,0.24170436346656204,1.6413645002360382e-14,0.24170436346656204,4.206336465927587,2.044734394638016e-13,4.206336465927587,-17.998637440095525,-0.9995346164922776,0.06127656681709584,0.017777863132888358,0.06380337027510163
0.12018561363220215,-17.859218650001743,-0.8999999999999979,0.2864928145043211,1.8576930197008436e-14,0.2864928145043211,4.584947915215759,2.2014618686877311e-13,4.584947915215759,-17.997893433424533,-0.9993273978096615,0.08579546872234348,0.023029834179433325,0.0888326275397661
0.12999486923217773,-17.856181898391792,-0.8999999999999977,0.3332560211877341,2.0810430512909235e-14,0.3332560211877341,4.949442743396655,2.352345720278537e-13,4.949442743396655,-17.996913128167975,-0.9990740145779593,0.11478092980694203,0.02868789920098733,0.11831169598950124
0.1399974822998047,-17.85259469499929,-0.8999999999999974,0.38462187026999994,2.3240321539323823e-14,0.38462187026999994,5.321115270153663,2.5062008041694733e-13,5.321115270153663,-17.995593310026486,-0.9987559329195109,0.15004194646369456,0.03497787635223805,0.15406504318866962
